CAB39	STK39
CEP152	PPP2R1A
FCGR2A	IGKV5-2
EXO1	RMI2
RAB8A	RAB8B
HMOX1	NFKB1
LDHA	TERF1
CBL	SORBS1
CTR9	NBN
EXO1	RMI1
ARHGAP18	RAC1
ARHGAP18	RAC2
C3	CR1
ARHGAP18	RAC3
C3	CR2
NGLY1	UBXN1
IGKV1-5	IGKV1D-12
IGKV1-5	IGKV1D-13
CEP41	HAUS1
HDAC2	MYCN
IFNW1	IRF3
CEP41	HAUS2
EDN1	HDAC2
GNG4	PRKAA1
IGKV1-5	IGKV1D-16
CEP41	HAUS3
CKAP5	SMC1A
GNG4	PRKAA2
IFNW1	IRF5
CEP41	HAUS4
IFNW1	IRF7
CIT	RAN
CSK	JAK2
CLTCL1	SNX9
DCTN3	MAPRE1
DIDO1	STAG1
DIDO1	STAG2
DIDO1	STAG3
VAV2	WAS
NEDD4	SCNN1A
FGF9	TEK
NEDD4	SCNN1B
CALD1	LPP
IL7R	PIK3C2A
FBXO44	SKP1
FBXO44	SKP2
SNCB	STX1A
NEDD4	SCNN1G
NME2	NME3
NME2	NME4
MYF5	MYOCD
CCL3	ETS1
MAP3K10	PHB
CPT1A	CROT
MAP2K3	MAPKAPK2
NUP43	SLBP
MAP2K3	MAPKAPK3
MAP2K3	MAPKAPK5
ARG2	STAT6
CCT5	HUWE1
DAPK2	RACGAP1
EP300	FOXH1
POLR2A	USP39
CSTA	EGFR
SF3B3	SIRT2
ETS2	PLAU
EP300	FOXG1
KIF26A	TMED7
CRY2	RPL10
H3-3A	NPY4R
CRK	TUBB2A
KIF26A	TMED9
STAT1	ZNF354A
STAT1	ZNF354B
DENND1A	RAB35
STAT1	ZNF354C
CAPZB	SPTBN4
CAPZB	SPTBN5
HDAC4	MEF2A
HDAC4	MEF2B
HDAC4	MEF2C
HIST1H2BB	TAF1L
HDAC4	MEF2D
KIF26A	TMED2
KIF26A	TMED3
EP300	FOXF1
IARS	VBP1
SNRNP40	TFIP11
INSR	STAT5B
RAD50	SPIDR
RFC2	UBA7
ESR2	PIAS1
HDAC2	SUZ12
CAPZB	SPTBN1
ESR2	PIAS3
CAPZB	SPTBN2
GNAL	OR11H12
PTPN13	YES1
OR56A3	REEP1
MAP3K1	TRAF1
FBXL19	RNF114
MAP3K1	TRAF2
FBXL19	RNF115
MAP3K1	TRAF3
SREBF2	SRF
MAP3K1	TRAF6
CASP1	TRIM16
NECTIN4	SRC
FOXC1	HOXB9
HLA-DRB4	LGMN
BCAP31	RAET1G
HLA-DQB2	KIF26A
HNRNPA0	PTBP1
BCAP31	RAET1L
APBB1IP	ITGA2B
H2BC14	RTF1
IL7R	VAV1
MLST8	RB1CC1
ALYREF	SLBP
CACNA1S	GNAI1
IGHV3-9	PLCG1
CACNA1S	GNAI2
IGHV3-9	PLCG2
CACNA1S	GNAI3
NFIC	TSPOAP1
